Title,Authors,Year,Site,Nicolás,Jonathan,Farah,Zach,Victoria,Salman,Samantha,Eva
The Longitudinal Effects of School Improvement Grants,"Min Sun, Susanna Loeb, Alec Kennedy",2020,Annengberg,,,,1,,,2,
When Behavioral Barriers are Too High or Low - How Timing Matters for Parenting Interventions,"Kalena Cortes, Hans Fricke, Susanna Loeb, David Song, Ben York",2019,Annengberg,,,,2,,,,
Interpreting Effect Sizes of Education Interventions,Matthew Kraft,2019,Annengberg,3,,,3,,,,3
Developing Ambitious Mathematics Instruction through Web-Based Coaching: A Randomized Field Trial,"Matthew Kraft, Heather C. Hill",2019,Annengberg,,,,1,,,,3
Too little or too much? Actionable Advice in an Early-Childhood Text Messaging Experiment,"Kalena E. Cortes, Hans Fricke, Susanna Loeb, David S. Song",2019,Annengberg,,4,,2,,,,
Examining the Educational Spillover Effects of Severe Natural Disasters: The Case of Hurricane Maria,Umut Özek,2020,CALDER,3,,,1,,,,
Targeted Interventions in High School: Preparing Students for College,"Zeyu Xu, Benjamin Backes, Amanda Oliveira, Dan Goldhaber",2020,CALDER,,,2,2,,1,,
"The Special Education Teacher Pipeline: Teacher Preparation, Workforce Entry, and Retention","Roddy Theobald, Dan Goldhaber, Natsumi Naito, Marcy Stein",2020,CALDER,,,,3,,,,
School Segregation at The Classroom Level in A Southern ‘New Destination’ State,"Charles Clotfelter, Helen Ladd, Mavzuna Turaeva",2020,CALDER,,2,,3,3,,,
"Testing, Teacher Turnover and the Distribution of Teachers Across Grades and Schools","Dillon Fuchsman, Tim Sass, Gema Zamarro",2020,CALDER,,,,3,,,,2
Teacher Quality Gaps by Disability and Socioeconomic Status: Evidence from Los Angeles,"Ijun Lai, W. Jesse Wood, Scott A. Imberman, Nathan Jones, Katharine Strunk",2020,CALDER,,,,2,,,,
Non-Resident Postsecondary Enrollment Growth and the Outcomes of In-State Students,"Diyi Li, Cheng Qian , Cory Koedel",2020,CALDER,,,,1,,2,,
Career and Technical Education in High School and Postsecondary Pathways in Washington State,"James Cowan, Dan Goldhaber, Harry Holzer, Natsumi Naito, Zeyu Xu",2019,CALDER,,,,3,,,,
From the Clinical Experience to the Classroom: Assessing the Predictive Validity of the Massachusetts Candidate Assessment of Performance,"Bingjie Chen, James Cowan, Dan Goldhaber, Roddy Theobald",2019,CALDER,,4,,3,,,,4
Student Teaching and the Geography of Teacher Shortages,"Dan Goldhaber, John Krieg, Natsumi Naito, Roddy Theobald",2019,CALDER,,,,2,,,,
